Date,Close,High,Low,Open,Volume
2024-04-25,48494.94921875,48625.44921875,47737.19921875,47772.6484375,337400
2024-04-26,48201.05078125,48679.6484375,48088.25,48660.0,208100
2024-04-29,49424.05078125,49473.6015625,48342.69921875,48359.8984375,327100
2024-04-30,49396.75,49974.75,49249.8984375,49477.1015625,402900
2024-05-02,49231.05078125,49529.3515625,49123.6015625,49262.0,291900
2024-05-03,48923.55078125,49607.75,48659.69921875,49375.05078125,223000
2024-05-06,48895.30078125,49252.6484375,48784.0,49174.55078125,340200
2024-05-07,48285.3515625,49023.5,48213.75,48965.05078125,230300
2024-05-08,48021.1015625,48223.05078125,47851.1484375,48124.19921875,286000
2024-05-09,47487.8984375,48258.6484375,47440.6484375,47976.3515625,272900
2024-05-10,47421.1015625,47868.69921875,47313.3515625,47555.5,218900
2024-05-13,47754.1015625,47841.6015625,46983.25,47389.80078125,220900
2024-05-14,47859.44921875,47937.25,47607.8515625,47748.8515625,152000
2024-05-15,47687.44921875,47957.19921875,47534.5,47923.1015625,188800
2024-05-16,47977.05078125,48052.8984375,47340.3515625,47945.8515625,219900
2024-05-17,48115.6484375,48188.6484375,47758.80078125,47842.94921875,143800
2024-05-21,48048.19921875,48259.75,47927.1015625,47927.1015625,166800
2024-05-22,47781.94921875,48114.05078125,47435.25,48113.8984375,204900
2024-05-23,48768.6015625,48829.69921875,47873.1484375,47899.3515625,184500
2024-05-24,48971.6484375,49052.94921875,48644.80078125,48668.0,135000
2024-05-27,49281.80078125,49688.8515625,49051.25,49105.8984375,226500
2024-05-28,49142.1484375,49511.1484375,49043.6484375,49390.8984375,155200
2024-05-29,48501.3515625,49022.6015625,48401.55078125,48786.69921875,183600
2024-05-30,48682.3515625,49044.6015625,48313.6015625,48313.6015625,151000
2024-05-31,48983.94921875,49122.55078125,48569.05078125,48895.1484375,303600
2024-06-03,50979.94921875,51133.19921875,50092.6484375,50889.8515625,453200
2024-06-04,46928.6015625,50667.05078125,46077.8515625,50667.05078125,653100
2024-06-05,49054.6015625,49362.8984375,46446.80078125,47486.6015625,546800
2024-06-06,49291.8984375,49672.75,48906.75,49426.3984375,250400
2024-06-07,49803.19921875,49943.19921875,49080.44921875,49316.94921875,170300
2024-06-10,49780.8984375,50252.94921875,49622.75,49808.1484375,195800
2024-06-11,49705.75,49970.30078125,49530.44921875,49751.19921875,128500
2024-06-12,49895.1015625,50233.3984375,49697.3515625,49857.44921875,211700
2024-06-13,49846.69921875,50186.44921875,49799.6484375,50179.0,125700
2024-06-14,50002.0,50102.6015625,49693.3515625,49993.94921875,155000
2024-06-18,50440.8984375,50562.1484375,49900.19921875,50194.3515625,189200
2024-06-19,51398.05078125,51957.0,50441.75,50607.8984375,435300
2024-06-20,51783.25,51842.19921875,51281.5,51712.8984375,235900
2024-06-21,51661.44921875,51934.3515625,51224.94921875,51927.30078125,289400
2024-06-24,51703.94921875,51783.94921875,51138.8984375,51280.25,176600
2024-06-25,52606.0,52746.5,51747.6484375,51759.44921875,204000
2024-06-26,52870.5,52988.30078125,52373.69921875,52653.19921875,214300
2024-06-27,52811.30078125,53180.75,52639.0,52980.30078125,332900
2024-06-28,52342.25,53030.30078125,52242.30078125,52874.94921875,244600
2024-07-01,52574.75,52656.1484375,52166.05078125,52351.1484375,0
2024-07-02,52168.1015625,52828.44921875,51996.6484375,52793.75,0
2024-07-03,53089.25,53256.69921875,52482.6484375,52872.30078125,0
2024-07-04,53103.69921875,53357.69921875,52815.8984375,53357.69921875,163700
2024-07-05,52660.3515625,52817.8515625,52290.05078125,52560.1015625,199600
2024-07-08,52425.80078125,52710.80078125,52246.69921875,52533.1015625,158000
2024-07-09,52568.80078125,52626.6015625,52292.94921875,52390.5,145100
2024-07-10,52189.30078125,52528.80078125,52075.3984375,52528.80078125,228000
2024-07-11,52270.6484375,52400.30078125,51749.44921875,52316.8984375,138300
2024-07-12,52278.8984375,52794.55078125,52171.1484375,52272.6484375,171000
2024-07-15,52455.8984375,52662.25,52154.0,52330.05078125,186100
2024-07-16,52396.80078125,52619.05078125,52331.6015625,52466.69921875,158800
2024-07-18,52620.69921875,52782.75,52168.6484375,52215.05078125,139400
2024-07-19,52265.6015625,52586.75,52146.30078125,52531.55078125,134100
2024-07-22,52280.3984375,52427.0,51874.55078125,52145.6015625,175300
2024-07-23,51778.30078125,52547.55078125,51342.6484375,52511.0,207800
2024-07-24,51317.0,51944.6484375,50784.25,51657.6484375,292200
2024-07-25,50888.75,51006.1015625,50559.8984375,50762.30078125,188400
2024-07-26,51295.94921875,51398.6015625,50438.30078125,50456.1015625,215700
2024-07-29,51406.25,52340.25,51186.94921875,51546.6484375,513700
2024-07-30,51499.30078125,51957.75,51260.05078125,51383.8984375,235200
2024-07-31,51553.3984375,51663.1015625,51335.69921875,51583.44921875,219000
2024-08-01,51564.0,51877.1484375,51456.19921875,51672.6015625,156400
2024-08-02,51350.1484375,51608.69921875,51087.8515625,51172.25,163000
2024-08-05,50092.1015625,50747.55078125,49719.1015625,50586.25,257800
2024-08-06,49748.30078125,50688.80078125,49659.05078125,50436.8984375,162800
2024-08-07,50119.0,50292.44921875,49782.19921875,50286.19921875,171000
2024-08-08,50156.69921875,50440.75,49829.6015625,50051.8984375,124800
2024-08-09,50484.5,50707.75,50386.44921875,50612.1015625,120200
2024-08-12,50577.94921875,50830.69921875,50149.25,50412.6015625,163500
2024-08-13,49831.8515625,50559.25,49785.1015625,50395.3515625,148900
2024-08-14,49727.30078125,49959.25,49654.6484375,49887.1484375,137100
2024-08-16,50516.8984375,50603.3984375,49806.05078125,50133.0,130700
2024-08-19,50368.3515625,50728.25,50283.55078125,50683.55078125,115300
2024-08-20,50803.1484375,51025.6015625,50398.6015625,50417.25,144200
2024-08-21,50685.55078125,50772.44921875,50333.3515625,50666.6484375,180800
2024-08-22,50985.69921875,51080.0,50794.44921875,50894.80078125,133100
2024-08-23,50933.44921875,51117.8515625,50856.69921875,51040.05078125,88500
2024-08-26,51148.1015625,51317.8515625,51061.55078125,51100.6484375,100300
2024-08-27,51278.75,51404.69921875,50938.1015625,51214.05078125,111400
2024-08-28,51143.8515625,51260.75,51033.69921875,51208.94921875,128100
2024-08-29,51152.75,51368.94921875,50984.3984375,51103.75,143600
2024-08-30,51351.0,51466.55078125,51256.0,51437.44921875,478600
2024-09-02,51439.55078125,51579.5,51295.80078125,51579.5,150200
2024-09-03,51689.1015625,51750.1015625,51240.05078125,51479.75,127200
2024-09-04,51400.25,51503.55078125,51259.8984375,51364.6484375,159700
2024-09-05,51473.05078125,51636.75,51389.1484375,51544.25,129600
2024-09-06,50576.8515625,51380.05078125,50447.30078125,51200.3984375,186000
2024-09-09,51117.80078125,51192.75,50369.3984375,50549.25,172400
2024-09-10,51272.30078125,51366.0,50958.25,51328.30078125,119300
2024-09-11,51010.0,51420.1484375,50947.69921875,51218.55078125,145100
2024-09-12,51772.3984375,51878.1015625,51025.0,51271.0,127900
2024-09-13,51938.05078125,51994.1015625,51643.94921875,51952.55078125,152000
2024-09-16,52153.1484375,52208.69921875,51921.44921875,52038.69921875,93800
2024-09-17,52188.6484375,52284.6015625,52085.5,52249.05078125,111400
2024-09-18,52750.3984375,52954.19921875,52154.55078125,52177.1015625,205100
2024-09-19,53037.6015625,53353.30078125,52847.8984375,52929.25,164900
2024-09-20,53793.19921875,54066.1015625,53037.6015625,53235.80078125,271900
2024-09-23,54105.80078125,54197.94921875,53741.3984375,53917.8984375,163700
2024-09-24,53968.6015625,54247.69921875,53904.6484375,54110.6484375,192600
2024-09-25,54101.6484375,54141.30078125,53792.8515625,53794.0,184600
2024-09-26,54375.3515625,54467.3515625,54010.8984375,54045.8515625,170500
2024-09-27,53834.30078125,54338.69921875,53763.19921875,54338.69921875,217400
2024-09-30,52978.1015625,53726.3984375,52926.55078125,53556.94921875,179300
2024-10-01,52922.6015625,53235.25,52817.80078125,52844.0,240200
2024-10-03,51845.19921875,52582.94921875,51683.3984375,52314.44921875,272300
2024-10-04,51462.05078125,52358.3515625,51347.25,51643.75,255800
2024-10-07,50478.8984375,51784.80078125,50194.30078125,51543.19921875,328700
2024-10-08,51021.0,51176.05078125,50466.0,50736.1015625,153200
2024-10-09,51007.0,51707.1484375,50903.75,51161.75,310000
2024-10-10,51530.8984375,51659.44921875,51047.0,51195.69921875,123700
2024-10-11,51172.30078125,51560.0,51005.8515625,51491.8984375,109400
2024-10-14,51816.8984375,51893.0,51220.8515625,51263.25,126600
2024-10-15,51906.0,52022.05078125,51698.75,51975.94921875,101400
2024-10-16,51801.05078125,52031.6015625,51711.19921875,51711.19921875,94400
2024-10-17,51288.80078125,51930.19921875,51150.25,51849.30078125,107800
2024-10-18,52094.19921875,52199.44921875,51000.8984375,51261.0,139100
2024-10-21,51962.69921875,52577.5,51855.1484375,52361.1015625,145700
2024-10-22,51257.1484375,52257.30078125,51179.6015625,52071.3515625,203900
2024-10-23,51239.0,51551.55078125,51107.8984375,51117.80078125,208100
2024-10-24,51531.1484375,51781.55078125,51201.8515625,51272.30078125,171800
2024-10-25,50787.44921875,51501.05078125,50382.1015625,51369.75,271700
2024-10-28,51259.30078125,51589.1484375,51012.55078125,51061.3515625,447600
2024-10-29,52320.69921875,52354.8515625,51278.8984375,51404.1015625,374600
2024-10-30,51807.5,52220.0,51733.0,51988.69921875,247700
2024-10-31,51475.3515625,52005.6015625,51318.1015625,51649.44921875,319900
2024-11-01,51673.8984375,51825.5,51459.3984375,51550.1484375,51400
2024-11-04,51215.25,51764.5,51066.80078125,51764.5,320500
2024-11-05,52207.25,52289.55078125,50865.44921875,51052.6015625,245000
2024-11-06,52317.3984375,52493.94921875,52185.3984375,52440.3984375,219100
2024-11-07,51916.5,52377.25,51752.25,52258.94921875,160500
2024-11-08,51561.19921875,52007.1484375,51494.0,51869.1484375,157200
2024-11-11,51876.75,52177.69921875,51294.19921875,51562.69921875,160700
2024-11-12,51157.80078125,52169.05078125,51006.8515625,52053.75,131400
2024-11-13,50088.3515625,51353.5,49904.3984375,51030.94921875,207100
2024-11-14,50179.55078125,50561.80078125,49939.3515625,50053.44921875,133900
2024-11-18,50363.80078125,50445.80078125,50074.0,50312.44921875,161500
2024-11-19,50626.5,50983.5,50440.8515625,50580.55078125,185800
2024-11-21,50372.8984375,50652.1484375,49787.1015625,50625.0,254600
2024-11-22,51135.3984375,51271.5,50508.25,50512.80078125,183400
2024-11-25,52207.5,52331.1015625,51774.05078125,52046.3515625,458500
2024-11-26,52191.5,52555.5,51999.75,52554.8984375,113100
2024-11-27,52301.80078125,52444.3515625,52019.6484375,52154.30078125,151600
2024-11-28,51906.8515625,52760.19921875,51782.8984375,52389.94921875,172000
2024-11-29,52055.6015625,52170.8984375,51759.44921875,51984.1484375,139600
2024-12-02,52109.0,52197.25,51693.94921875,52087.6484375,102500
2024-12-03,52695.75,52780.8984375,52216.8515625,52357.94921875,173600
2024-12-04,53266.8984375,53387.1015625,52685.1484375,52775.0,228600
2024-12-05,53603.55078125,53888.30078125,52850.3515625,53354.44921875,155600
2024-12-06,53509.5,53868.5,53160.6484375,53634.19921875,209400
2024-12-09,53407.75,53775.1015625,53326.3984375,53380.75,121800
2024-12-10,53577.69921875,53624.05078125,53302.6484375,53450.05078125,121800
2024-12-11,53391.3515625,53648.05078125,53302.1484375,53459.30078125,101600
2024-12-12,53216.44921875,53537.44921875,53174.3984375,53201.0,99500
2024-12-13,53583.80078125,53654.0,52264.55078125,53109.80078125,139900
2024-12-16,53581.3515625,53738.8984375,53335.0,53502.5,85800
2024-12-17,52834.80078125,53515.69921875,52709.3984375,53394.1015625,116200
2024-12-18,52139.55078125,52827.6015625,52010.6484375,52696.94921875,149500
2024-12-19,51575.69921875,51789.8515625,51263.75,51428.44921875,145900
2024-12-20,50759.19921875,51629.0,50609.3515625,51401.3515625,228200
2024-12-23,51317.6015625,51417.3515625,51030.3984375,51044.3984375,110800
2024-12-24,51233.0,51382.1015625,51137.5,51314.94921875,112000
2024-12-26,51170.69921875,51740.0,50951.80078125,51395.80078125,100
2024-12-27,51311.30078125,51628.44921875,51240.1015625,51268.19921875,78200
2024-12-30,50952.75,51979.75,50718.3515625,51255.3515625,316300
2024-12-31,50860.19921875,50945.55078125,50599.80078125,50648.19921875,105300
2025-01-02,51605.55078125,51672.75,50992.80078125,51084.94921875,134400
2025-01-03,50988.80078125,51671.6015625,50904.3515625,51567.1484375,148200
2025-01-06,49922.0,51026.1015625,49751.0,50990.6484375,184600
2025-01-07,50202.1484375,50447.6015625,49969.30078125,50061.19921875,103800
2025-01-08,49835.05078125,50246.8984375,49389.75,50201.75,131200
2025-01-09,49503.5,49798.1015625,49230.1484375,49712.55078125,136400
2025-01-10,48734.1484375,49483.1484375,48631.19921875,49426.5,142400
2025-01-13,48041.25,48606.3515625,47898.3515625,48264.25,168800
2025-01-14,48729.1484375,49007.3515625,48235.19921875,48266.8984375,151900
2025-01-15,48751.69921875,49083.6484375,48522.3984375,48832.75,145100
2025-01-16,49278.69921875,49459.0,49038.44921875,49082.8984375,146700
2025-01-17,48540.6015625,49047.19921875,48309.5,48959.5,130600
2025-01-20,49350.80078125,49650.6015625,48683.6015625,48834.1484375,173100
2025-01-21,48570.8984375,49543.1484375,48430.94921875,49532.0,134700
2025-01-22,48724.3984375,48781.75,48074.05078125,48689.55078125,151700
2025-01-23,48589.0,48892.69921875,48493.0,48770.1484375,124600
2025-01-24,48367.80078125,48858.6484375,48203.0,48546.05078125,139900
2025-01-27,48064.6484375,48319.19921875,47844.1484375,47881.6484375,271800
2025-01-28,48866.8515625,49247.1484375,48449.05078125,48642.5,299900
2025-01-29,49165.94921875,49199.6484375,48849.80078125,48997.19921875,177200
2025-01-30,49311.94921875,49426.19921875,49031.80078125,49206.19921875,197900
2025-01-31,49587.19921875,49674.80078125,49031.80078125,49259.6484375,232000
2025-02-03,49210.55078125,49373.44921875,48906.05078125,49074.80078125,122900
2025-02-04,50157.94921875,50206.6015625,49482.5,49538.80078125,155700
2025-02-05,50343.05078125,50522.1484375,50215.44921875,50402.30078125,149000
2025-02-06,50382.1015625,50553.3515625,50149.80078125,50468.3515625,158400
2025-02-07,50158.8515625,50641.75,49871.1484375,50484.44921875,178700
2025-02-10,49981.0,50155.6484375,49703.1015625,50052.5,98400
2025-02-11,49403.3984375,49906.75,49177.3984375,49812.1484375,127000
2025-02-12,49479.44921875,49702.3515625,48734.3515625,49402.25,136500
2025-02-13,49359.8515625,49836.1015625,49276.1015625,49469.3515625,118600
2025-02-14,49099.44921875,49592.94921875,48719.75,49485.6484375,130600
2025-02-17,49258.8984375,49319.0,48525.6015625,48880.3984375,114800
2025-02-18,49087.30078125,49328.55078125,48814.94921875,49211.8515625,107800
2025-02-19,49570.1015625,49628.25,48804.0,48895.3515625,113300
2025-02-20,49334.55078125,49455.80078125,49150.94921875,49314.1015625,112000
2025-02-21,48981.19921875,49306.55078125,48764.0,49127.94921875,95300
2025-02-24,48651.94921875,48748.3984375,48281.8984375,48619.80078125,95700
2025-02-25,48608.3515625,48862.1484375,48534.1484375,48691.19921875,106700
2025-02-27,48743.80078125,48972.55078125,48627.1015625,48732.19921875,186700
2025-02-28,48344.69921875,48574.5,48078.69921875,48437.55078125,287700
2025-03-03,48114.30078125,48574.69921875,47841.30078125,48478.6015625,151000
2025-03-04,48245.19921875,48374.8984375,47924.75,47942.5,139300
2025-03-05,48489.94921875,48657.6484375,48190.25,48241.30078125,127800
2025-03-06,48627.69921875,48839.1015625,48299.3984375,48760.0,137400
2025-03-07,48497.5,48709.05078125,48359.3515625,48463.80078125,106000
2025-03-10,48216.80078125,48599.1484375,48124.6484375,48312.0,123800
2025-03-11,47853.94921875,48029.05078125,47702.8984375,47874.80078125,222400
2025-03-12,48056.6484375,48222.1484375,47844.94921875,47894.3984375,243300
2025-03-13,48060.3984375,48352.44921875,48006.1015625,48219.1484375,145900
2025-03-17,48354.1484375,48481.3515625,48196.1015625,48219.55078125,131300
2025-03-18,49314.5,49400.30078125,48629.44921875,48792.8984375,146600
2025-03-19,49702.6015625,49807.55078125,49324.80078125,49375.3984375,137600
2025-03-20,50062.8515625,50155.30078125,49771.6484375,49947.6015625,115700
2025-03-21,50593.55078125,50672.1484375,49891.94921875,49927.1015625,225500
2025-03-24,51704.94921875,51801.1484375,50795.8984375,50982.69921875,180400
2025-03-25,51607.94921875,52063.94921875,51429.6015625,51874.19921875,185200
2025-03-26,51209.0,51875.80078125,51069.1484375,51640.05078125,152900
2025-03-27,51575.8515625,51714.3515625,51050.8515625,51084.69921875,415800
2025-03-28,51564.8515625,51839.1015625,51335.3515625,51608.3984375,171200
2025-04-01,50827.5,51683.8515625,50742.0,51178.1484375,176300
2025-04-02,51348.05078125,51404.19921875,50908.3515625,50966.8984375,149900
2025-04-03,51597.3515625,51661.6015625,50906.6484375,50910.0,291200
2025-04-04,51502.69921875,51893.6015625,51360.3984375,51711.6015625,189600
2025-04-07,49860.1015625,50426.25,49156.94921875,49336.1015625,236800
2025-04-08,50511.0,50793.69921875,50030.80078125,50388.55078125,162300
2025-04-09,50240.1484375,50496.8984375,49910.8515625,50487.1015625,141800
2025-04-11,51002.3515625,51244.69921875,50634.1015625,50634.1015625,140000
2025-04-15,52379.5,52486.3515625,51863.30078125,52299.0,203800
2025-04-16,53117.75,53164.44921875,52471.3515625,52690.8984375,200500
2025-04-17,54290.19921875,54407.19921875,53084.8984375,53153.75,294900
2025-04-21,55304.5,55461.6484375,54674.94921875,54891.25,300
2025-04-22,55647.19921875,55961.19921875,55243.55078125,55414.30078125,276900
2025-04-23,55370.05078125,56098.69921875,55162.5,56097.1015625,245500
2025-04-24,55201.3984375,55550.44921875,55088.3984375,55103.8984375,233200
2025-04-25,54664.05078125,55350.55078125,54176.44921875,55233.55078125,210800
2025-04-28,55432.80078125,55577.3984375,54582.3515625,54610.30078125,178600
2025-04-29,55391.25,55957.75,55262.3984375,55524.3515625,193900
2025-04-30,55087.1484375,55478.25,54723.69921875,55382.3984375,193500
2025-05-02,55115.3515625,55691.94921875,54994.3984375,55100.94921875,154200
2025-05-05,54919.5,55345.5,54786.5,55065.80078125,139400
2025-05-06,54271.3984375,55036.94921875,54172.94921875,54918.25,198700
2025-05-07,54610.8984375,54684.30078125,53919.8984375,54013.3984375,268900
2025-05-08,54365.6484375,54937.25,54108.0,54801.75,302200
2025-05-09,53595.25,54054.80078125,53483.05078125,53595.94921875,179300
2025-05-12,55382.8515625,55466.30078125,54558.05078125,54658.75,199600
2025-05-13,54940.8515625,55499.6484375,54888.5,55233.5,190000
2025-05-14,54801.30078125,55208.6015625,54491.0,55008.55078125,145200
2025-05-15,55355.6015625,55490.55078125,54442.30078125,54853.69921875,138400
2025-05-16,55354.8984375,55418.8984375,55170.25,55276.0,136000
2025-05-19,55420.69921875,55695.55078125,55296.55078125,55326.05078125,138100
2025-05-20,54877.3515625,55568.3515625,54829.44921875,55445.30078125,143400
2025-05-21,55075.1015625,55336.8515625,54690.80078125,55060.19921875,119500
2025-05-22,54941.30078125,54996.1015625,54576.6015625,54875.8984375,148200
2025-05-23,55398.25,55441.30078125,54854.5,54959.30078125,88900
2025-05-26,55572.0,55875.75,55307.5,55534.8984375,90800
2025-05-27,55352.80078125,55831.3515625,55037.8515625,55458.94921875,145400
2025-05-28,55417.0,55521.80078125,55235.55078125,55328.6015625,128300
2025-05-29,55546.05078125,55782.75,55096.44921875,55571.3984375,185700
2025-05-30,55749.69921875,55813.30078125,55356.6015625,55615.55078125,281100
2025-06-02,55903.3984375,55966.30078125,55400.55078125,55598.25,211300
2025-06-03,55599.94921875,56161.3984375,55455.80078125,56104.80078125,212800
2025-06-04,55676.8515625,55791.0,55408.3515625,55650.3515625,151500
2025-06-05,55760.8515625,56010.1484375,55580.44921875,55806.75,141300
2025-06-06,56578.3984375,56695.0,55534.75,55699.44921875,347000
2025-06-09,56839.6015625,57049.5,56792.69921875,57049.5,207500
2025-06-10,56629.1015625,57015.3984375,56564.1484375,56993.8984375,146000
2025-06-11,56459.75,56782.5,56399.3984375,56639.8515625,135300
2025-06-12,56082.55078125,56611.05078125,55968.5,56480.8984375,135300
2025-06-13,55527.3515625,55688.0,55149.30078125,55149.30078125,142000
2025-06-16,55944.8984375,55999.8515625,55381.44921875,55554.1015625,107700
2025-06-17,55714.1484375,56067.30078125,55643.94921875,55975.0,106300
2025-06-18,55828.75,55933.6015625,55511.80078125,55544.94921875,116400
2025-06-19,55577.44921875,55942.44921875,55475.44921875,55784.8515625,131300
2025-06-20,56252.8515625,56328.19921875,55566.3984375,55566.69921875,161500
2025-06-23,56059.3515625,56233.55078125,55779.25,55832.3515625,86800
2025-06-24,56461.8984375,56862.0,56276.1484375,56529.44921875,132900
2025-06-25,56621.1484375,56681.3984375,56420.6484375,56564.5,98700
2025-06-26,57206.69921875,57263.44921875,56558.3515625,56693.55078125,176500
2025-06-27,57443.8984375,57475.3984375,56993.8515625,57234.69921875,238000
2025-06-30,57312.75,57614.5,57193.80078125,57529.94921875,183000
2025-07-01,57459.44921875,57533.8515625,57150.3515625,57375.80078125,283300
2025-07-02,56999.19921875,57628.3984375,56833.80078125,57558.19921875,169600
2025-07-03,56791.94921875,57193.25,56764.1015625,57050.3984375,149900
2025-07-04,57031.8984375,57075.1015625,56623.6015625,56825.25,93900
2025-07-07,56949.19921875,57152.19921875,56838.55078125,56938.69921875,103300
2025-07-08,57256.30078125,57303.30078125,56923.05078125,56942.55078125,105500
2025-07-09,57213.55078125,57290.6484375,57037.8984375,57199.75,91100
2025-07-10,56956.0,57363.69921875,56886.6015625,57339.75,102000
2025-07-11,56754.69921875,57091.05078125,56607.75,56843.44921875,95500
2025-07-14,56765.3515625,56896.30078125,56594.25,56780.75,123000
2025-07-15,57006.6484375,57134.94921875,56707.80078125,56709.19921875,124600
2025-07-16,57168.94921875,57276.55078125,56937.6015625,57111.25,161300
2025-07-17,56828.80078125,57262.8515625,56780.1484375,57231.94921875,129800
2025-07-18,56283.0,56705.1484375,56204.8515625,56524.25,141200
2025-07-21,56952.75,56983.44921875,56255.69921875,56558.8984375,133700
2025-07-22,56756.0,57286.1484375,56692.0,57253.3515625,132800
2025-07-23,57210.44921875,57249.0,56715.80078125,56918.1484375,129800
2025-07-24,57066.05078125,57316.6015625,56850.8984375,57316.6015625,179800
2025-07-25,56528.8984375,57170.69921875,56439.3984375,57170.69921875,125100
